name,zipcode,prefecture,address,latitude,longitude,tel,open_time,regular_holiday,eat-in
金沢工大店,9218812,石川県,野々市市扇ヶ丘8-15　竹内ビル,36.5284958,136.6298381,076-248-9215,平日　17:30〜23:30|土曜・日曜・祝日　17:00〜23:30,木曜日,yes
野々市店,9218803,石川県,野々市市押越2-64,36.5392313,136.6064611,076-294-4649,17:00〜24:00,月曜日,yes
松任店,9240804,石川県,白山市徳丸町384,36.5211152,136.5793626,076-275-0172,17:00〜23:00,水曜日,yes
七尾店,9260855,石川県,七尾市小丸山台1-12,37.0438556,136.9555547,0767-53-4635,平日　17:00〜23:00|土曜　17:00〜24:00|日曜・祝日　15:30〜22:15,月曜日,yes
羽咋店,9250033,石川県,羽咋市川原町169,36.8962928,136.7817736,0767-22-6039,17:00〜22:30,日曜日,yes
金沢もりの里店,9201151,石川県,金沢市田上町54街区3,36.5613254,136.6562051,076-221-5959,17:00〜23:00,火曜日,yes
金沢新神田店,9218013,石川県,金沢市新神田2-13-18,36.5638324,136.6298853,076-292-2230,平日　17:00〜23:00|日曜・祝日　16:30〜23:00,水曜日,yes
富山駅前店,9300003,富山県,富山市桜町1-3-5,36.699368,137.2145765,076-441-3991,平日　17:00〜23:30|金曜・土曜　17:00〜23:30|日曜・祝日　17:00〜23:00,火曜日,yes
総曲輪店,9300083,富山県,富山市総曲輪3-3-25,36.6897361,137.2143826,076-421-6516,平日　17:00〜23:00|金曜・土曜　17:00〜23:30|日曜・祝日　17:00〜23:00,水曜日,yes
桜町店,9300003,富山県,富山市桜町2-1-9　T.Sビル,36.6989008,137.2123148,076-432-5123,平日　17:00〜23:00|金曜・土曜　17:00〜23:30|日曜・祝日　17:00〜23:00,日曜日・月曜日・祝日,yes
高岡駅前店,9330029,富山県,高岡市御旅屋1032-1,36.7443224,137.015227,0766-22-3333,平日　17:00〜23:00|金曜・土曜　17:00〜24:00|日曜・祝日　16:30〜22:15,火曜日,yes
氷見店,9360024,富山県,氷見市窪844-1,36.8445166,136.9881645,0766-91-7933,平日　17:00〜23:00|土曜　17:00〜24:00|日曜・祝日　16:30〜22:15,月曜日,yes
太閤山店,9390362,富山県,射水市太閤山1-89-1,36.7106306,137.093707,0766-56-5455,平日　17:00〜23:30|日曜・祝日　16:30〜23:00,月曜日,yes
新湊店,9340013,富山県,射水市立町10-20,36.779403,137.0883556,0766-84-5541,平日　17:00〜23:30|日曜・祝日　17:00〜22:30,火曜日,yes
小さか店,9370801,富山県,魚津市新金屋2-2-10,36.8215123,137.4073429,0765-24-0022,平日　16:30〜23:00|日曜・祝日　16:00〜22:00,月曜日,yes
八尾店,9392303,富山県,富山市八尾町大杉302,36.6093391,137.1598598,076-455-0252,平日　17:00〜23:00|日曜・祝日　16:30〜22:30,月曜日,yes
となみ店,9391366,富山県,砺波市表町7-6　ACTYビル1F,36.6367493,136.952476,0763-33-3971,17:00〜24:00,無休,yes
滑川店,9360077,富山県,滑川市魚躬字公門木203-1,36.7571447,137.3166794,076-475-7289,17:00〜23:00,火曜日,yes
小矢部店,9320057,富山県,小矢部市本町3-23,36.6743113,136.8665974,0766-68-3017,平日　17:00〜24:00|日曜・祝日　17:00〜23:30,火曜日,yes
サンプラザ店（持ち帰り専門）,9370051,富山県,魚津市駅前新町5-30　サンプラザ内1F,36.8236232,137.4060234,0765-22-7595,10:00〜19:00,無休,no
大沢野店,9392252,富山県,富山市上大久保1026-1,36.5897896,137.2048061,076-468-4321,平日　17:00〜23:00|日曜・祝日　17:00〜22:30,第1木曜日,yes
新潟西堀店,9518062,新潟県,新潟市中央区西堀前通9-1528　第1ソシアルビル,37.9252364,139.0448439,025-222-3633,17:30〜25:00,日曜日,yes
松本駅前店,3900811,長野県,松本市中央1-5-3,36.2319053,137.965899,0263-36-2262,平日　17:00〜25:00|日曜・祝日　17:00〜24:00,無休,yes
塩尻広丘店,3990702,長野県,塩尻市広丘野村1645-9,36.1487181,137.9493643,0263-52-6666,平日　17:00〜24:00|日曜・祝日　16:00〜23:00,月曜日,yes
松本なぎさ店,3900841,長野県,松本市渚1-7-1　なぎさ（渚）ライフサイト内,36.2333906,137.9552807,0263-24-2272,平日　17:00〜25:00|日曜・祝日　17:00〜24:00,無休,yes
甲府店,4000031,山梨県,甲府市丸の内1-19-13　十五屋フルーツビル1F,35.66193,138.5689737,055-226-9218,17:00〜24:00,日曜日,yes
今池店,4640074,愛知県,名古屋市千種区仲田2-17-2,35.1687026,136.9420672,052-752-2260,平日　17:00〜24:00|日曜・祝日　17:00〜23:00,木曜日,yes
舞鶴店,4600012,愛知県,名古屋市中区千代田2-16-35,35.1565806,136.9131646,052-251-3330,平日　17:00〜24:00|日曜・祝日　17:00〜23:00,第3日曜日,yes
上飯田店,4620808,愛知県,名古屋市北区上飯田通1-15　バスターミナル1F,35.2031502,136.9302256,052-914-6952,平日　17:00〜23:30|金曜・土曜・祝前日　17:00〜24:00|日曜・祝日　17:00〜23:00,火曜日,yes
静岡店,4200034,静岡県,静岡市葵区常磐町1-4-3　玄南トキワビル,34.9723742,138.3825335,054-254-0261,平日　17:00〜23:00|祝日　17:00〜22:00,日曜日,yes
池袋東口店,1700013,東京都,豊島区東池袋1-32-4　藤原ビル1F,35.732714,139.7159703,03-5956-3310,平日　17:00〜23:30|日曜・祝日　17:00〜23:00,無休,yes
池袋店,1710021,東京都,豊島区西池袋3-30-4　K&Hビル1F,35.7306759,139.7065745,03-3982-0601,平日　17:00〜23:30|日曜・祝日　17:00〜23:00,無休,yes
後楽園店,1130033,東京都,文京区本郷1-20-7　安藤ビル1F,35.7046636,139.7552054,03-5840-7350,17:00〜23:00,月曜日,yes
荻窪店,1670043,東京都,杉並区上荻1-10-9,35.7047984,139.6180033,03-3392-6609,平日　17:00〜23:00|日曜・祝日　17:00〜22:00,月曜日,yes
赤羽店,1150045,東京都,北区赤羽1-19-11　ヴェルディ赤羽101,35.7807087,139.7201946,03-3902-8018,平日　17:00〜23:30|日曜・祝日　17:00〜23:00,月曜日,yes
中野店,1640001,東京都,中野区中野5-54-3　藤田ビル1F,35.7085318,139.6665685,03-3385-0071,平日　17:00〜23:30|日曜・祝日　17:00〜23:00,月曜日,yes
渋谷桜丘店,1500031,東京都,渋谷区桜丘町17-12　渋谷ジョンソンビル1F,35.6561446,139.7013286,03-3464-1518,17;00〜23:00,無休,yes
銀座店,1040061,東京都,中央区銀座8-3-10　トミタビル1F,35.6689531,139.7590785,03-3571-0959,17:00〜23:00,日曜日・祝日,yes
神田店,1010047,東京都,千代田区内神田3-4-4　新千代田ビル1F,35.6900691,139.7689818,03-3254-2660,17:00〜23:30,土曜日・日曜日・祝日,yes
ときわ台店,1740072,東京都,板橋区南常盤台1-29-6,35.7584465,139.6883481,03-3958-5591,17:00〜25:00,火曜日,yes
ニュー神田店,1010047,東京都,千代田区内神田1-17-1　橋本ビル1F,35.6914669,139.7666756,03-3293-0008,17:00〜23:30,土曜日・日曜日・祝日,yes
横浜関内店,2310016,神奈川県,横浜市中区真砂町3-38　キリン関内ビル1F,35.4450965,139.6354868,045-681-1114,平日　17:00〜23:30|日曜・祝日　16:00〜22:30,無休,yes
大津店,5200056,滋賀県,大津市末広町10-2,35.0044279,135.8643292,077-521-0272,16:30〜23:30,日曜日,yes
長浜店,5260067,滋賀県,長浜市港町2-28　グリーンホテルYes長浜みなと館1F北,35.3733206,136.264162,0749-62-2403,平日　17:00〜24:00|日曜・祝日　16:30〜23:00,月曜日,yes
守山店,5240041,滋賀県,守山市勝部1-19-18-101,35.051091,135.9935487,077-581-1154,17:00〜24:00,日曜日,yes
彦根店,5220038,滋賀県,彦根市西沼波町182-1　グリーンウォーク西館1F,35.2596409,136.2664309,0749-30-2717,平日　18:00〜25:00|土曜・日曜・祝日　17:00〜24:00,火曜日,yes
河原町店,6048031,京都府,京都市中京区河原町通三条下る大黒町71,35.008110, 135.769794,075-213-3394,平日　17:30〜23:30|土曜・日曜・祝日　17:00〜23:30,火曜日,yes
西院店,6150014,京都府,京都市右京区西院巽町4-1,35.003328,135.7302829,075-313-0016,17:00〜24:00,月曜日,yes
東舞鶴店,6250036,京都府,舞鶴市浜365,35.4742528,135.3925579,0773-64-2259,17:00〜23:00,火曜日,yes
梅田店1F,5300057,大阪府,大阪市北区曽根崎2-14-14　USビル1F,34.7010148,135.500539,06-6316-0753,平日　17:30〜23:30|土曜・日曜・祝日　16:30〜23:30,無休,yes
梅田店2F,5300057,大阪府,大阪市北区曽根崎2-14-14　USビル2F,34.7010148,135.500539,06-6316-0753,平日　17:30〜23:30|土曜・日曜・祝日　16:30〜23:30,無休,yes
なんば店,5560011,大阪府,大阪市浪速区難波中1-15-20,34.6640244,135.4995412,06-6641-2012,17:00〜24:00,無休,yes
心斎橋南店,5420076,大阪府,大阪市中央区難波1-7-18　心斎橋ヨーロピアンビル1F,34.6680715,135.5011282,06-6212-5053,平日　17:30〜23:30|土曜・日曜・祝日　17:00〜23:30,無休,yes
心斎橋店,5420085,大阪府,大阪市中央区心斎橋筋1-10-1,34.6748287,135.5011935,06-6245-9232,17:00〜25:00,無休,yes
法善寺店,5420076,大阪府,大阪市中央区難波1-6-5　TMビル2F,34.6679735,135.5020488,06-6212-0495,16:30〜23:30,無休,yes
日本橋店,5420073,大阪府,大阪市中央区日本橋2-8-17　ソレイル難波1,34.664221,135.5062837,06-6649-6383,17:00〜23:30,日曜日,yes
天王寺店,5430055,大阪府,大阪市天王寺区悲田院町4-22,34.6484485,135.5143931,06-6771-6577,17:00〜24:00,無休,yes
西中島店,5320011,大阪府,大阪市淀川区西中島4-8-30,34.7260061,135.4973986,06-6885-8252,17:00〜24:00,日曜日,yes
あべの店,5450052,大阪府,大阪市阿倍野区阿倍野筋2-1-18　サードビル1F,34.6441003,135.5130236,06-6622-7975,17:00〜24:00,無休,yes
京橋コムズガーデン店,5340024,大阪府,大阪市都島区東野田町2-6-1　B2-19番,34.6973685,135.5313737,06-6882-6009,平日　17:00〜23:00|土曜・日曜・祝日　16:00〜23:00,奇数月の第3月曜日,yes
阿波座店,5500012,大阪府,大阪市西区立売堀4-9-1,34.6803224,135.4872252,06-6537-6577,17:00〜24:00,日曜日,yes
香里店,5720085,大阪府,寝屋川市香里新町21-6,34.7868182,135.6288936,072-833-0117,17:00〜24:00,無休,yes
千里丘店,5660001,大阪府,摂津市千里丘1-13-27　MiYAKO BL 1,34.7923294,135.5497345,06-6337-0144,17:00〜24:00,月曜日,yes
堺東店,5900028,大阪府,堺市堺区三国ヶ丘御幸通2-4　浅田ビル1F,34.572432,135.4837141,072-229-1626,17:00〜24:00,日曜日,yes
石橋店,5630032,大阪府,池田市石橋2-2-5,34.8091762,135.4459732,072-763-4350,17:00〜24:00,無休,yes
古市店,5830856,大阪府,羽曳野市白鳥1-1-4,34.55263,135.6071396,072-957-3477,17:00〜24:00,火曜日,yes
深井店,5998273,大阪府,堺市中区深井清水町3995,34.5319808,135.4978415,072-270-1400,17:00〜24:00,水曜日,yes
江坂店,5640063,大阪府,吹田市江坂町1-23-37　GOUT1F,34.7583633,135.4975534,06-6821-8666,17:00〜24:00,無休,yes
武庫之荘店,6610035,兵庫県,尼崎市武庫之荘1-2-8,34.7519624,135.3937545,06-6433-6151,平日　17:00〜23:30|金曜・土曜　17:00〜24:00|日曜・祝日　17:00〜23:30,水曜日,yes
園田店,6610953,兵庫県,尼崎市東園田町9-17-5　グローバル園田駅前1F,34.7515633,135.4478387,06-6498-8946,17:00〜24:00,火曜日,yes
明石店,6730886,兵庫県,明石市東仲ノ町5-23,34.6483283,134.9942762,078-911-1403,17:00〜24:00,日曜日,yes
兵庫駅前店,6520805,兵庫県,神戸市兵庫区羽坂通4-2-14,34.6692468,135.1638794,078-579-6165,平日　17:00〜24:00|日曜・祝日　16:30〜23:30,月曜日,yes
広島袋町店,7300036,広島県,広島市中区袋町3-11,34.3926967,132.4575978,082-544-6601,平日　17:00〜24:00|日曜・祝日　17:00〜23:30,第3日曜日,yes
広島大手町店,7300051,広島県,広島市中区大手町3-13-10,34.3866917,132.4529788,082-545-0720,17:00〜23:30,日曜日,yes
松山二番町店,7900002,愛媛県,松山市二番町3-10-2　コア松山ビルB1,33.840499,132.7688027,089-947-6200,17:00〜24:00,日曜日,yes
松山三番町店,7900003,愛媛県,松山市三番町2-5-5,33.8379939,132.7715941,089-935-7200,17:00〜24:00,無休,yes
